Books,Authors,Summaries
Lessons in Chemistry,Bonnie Garmus,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
Babel,R. F. Kuang,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
Fairy Tale,Stephen King,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
Mad Honey,Jodi Picoult; Jennifer Finney Boylan,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Two friends find their partnership challenged in the world of video game design.
Demon Copperhead,Barbara Kingsolver,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
The Boys from Biloxi,John Grisham,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
Verity,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
Dreamland,Nicholas Sparks,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
A World of Curiosities,Louise Penny,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
The Midnight Library,Matt Haig,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
Triple Cross,James Patterson,Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
The Marriage Portrait,Maggie O'Farrell,"In 1550s Florence, the future of the third daughter of the grand duke seems uncertain after she is thrust into a marriage."
Going Rogue,Janet Evanovich,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
Tom Clancy Red Winter,Marc Cameron,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.
The Light We Carry,Michelle Obama,The former first lady shares personal stories and the tools she uses to deal with difficult situations.
I'm Glad My Mom Died,Jennette McCurdy,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,"The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety."
Surrender,Bono,"The lead singer of the Irish rock band U2 offers details of his life, career and activism."
The Revolutionary: Samuel Adams,Stacy Schiff,The Pulitzer Prize-winning biographer details Samuel Adams’s contributions to the American Revolution.
The Song of the Cell,Siddhartha Mukherjee,The Pulitzer Prize-winning author chronicles the discovery of cells and describes how modern medicine uses them.
And There Was Light,Jon Meacham,The Pulitzer Prize–winning biographer portrays the life of Abraham Lincoln.
Crying in H Mart,Michelle Zauner,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer."
The Philosophy of Modern Song,Bob Dylan,"In a collection of more than 60 essays, the musician and winner of the Nobel Prize in Literature explores the nature of popular music."
An Immense World,Ed Yong,The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.
Cinema Speculation,Quentin Tarantino,The filmmaker shares his love of cinema with special attention given to key American films of the 1970s.
The Myth of Normal,Gabor Maté; Daniel Maté (As told to),The potential ways in which trauma and stress from modern-day living can affect our physical health.
What If? 2,Randall Munroe,The creator of the web comic “xkcd” and former NASA roboticist looks into hypothetical and oddball scenarios.
Finding Me,Viola Davis,The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.
Starry Messenger,Neil deGrasse Tyson,"The astrophysicist and director of the Hayden Planetarium delves into subjects including politics, religion, gender and race."
